id,value
Earth System Model.Ocean.Physical.Sea Water Potential Density,2042
Earth System Model.Ocean.Physical.Sea Water Age Since Surface Contact,2042
Earth System Model.Ocean.Physical.Ocean Barotropic Mass Streamfunction,2042
Earth System Model.Ocean.Physical.Ocean Mixed Layer Thickness,2042
Earth System Model.Ocean.Physical.Mean Daily Max MLD,2042
Earth System Model.Ocean.Physical.Monthly Max MLD,2042
Earth System Model.Ocean.Biogeochemistry,
Earth System Model.Ocean.Biogeochemistry.Aragonite Dissolution,774
Earth System Model.Ocean.Biogeochemistry.Calcite Dissolution,774
Earth System Model.Ocean.Biogeochemistry.Sinking Aragonite Flux,774
Earth System Model.Ocean.Biogeochemistry.Sinking Calcite Flux,774
Earth System Model.Ocean.Biogeochemistry.Sinking Particulate Silica Flux,774
Earth System Model.Ocean.Biogeochemistry.Sinking Particulate Iron Flux,774
Earth System Model.Ocean.Biogeochemistry.Sinking Particulate Organic Phosphorus Flux,774
Earth System Model.Ocean.Biogeochemistry.Sinking Particulate Organic Nitrogen Flux,774
Earth System Model.Ocean.Biogeochemistry.Sinking Particulate Organic Carbon Flux,774
Earth System Model.Ocean.Biogeochemistry.Aragonite Production,774
Earth System Model.Ocean.Biogeochemistry.Calcite Production,774
Earth System Model.Ocean.Biogeochemistry.Biogenic Silica Production,774
Earth System Model.Ocean.Biogeochemistry.Biogenic Iron Production,774
Earth System Model.Ocean.Biogeochemistry.Diatom Primary Carbon Production,774
Earth System Model.Ocean.Biogeochemistry.Primary Carbon Production by Phytoplankton,774
Earth System Model.Ocean.Biogeochemistry.Dimethyl Sulphide Concentration,774
Earth System Model.Ocean.Biogeochemistry.Phytoplankton Silica Concentration,774
Earth System Model.Ocean.Biogeochemistry.Phytoplankton Iron Concentration,774
Earth System Model.Ocean.Biogeochemistry.Phytoplankton Phosphorus Concentration,774
Earth System Model.Ocean.Biogeochemistry.Phytoplankton Nitrogen Concentration,774
Earth System Model.Ocean.Biogeochemistry.Particulate Biogenic Silica Concentration,774
Earth System Model.Ocean.Biogeochemistry.Particulate Biogenic Iron Concentration,774
Earth System Model.Ocean.Biogeochemistry.Particulate Organic Phosphorus Concentration,774
Earth System Model.Ocean.Biogeochemistry.Particulate Organic Nitrogen Concentration,774
Earth System Model.Ocean.Biogeochemistry.Diatom Chlorophyll Mass Concentration,774
Earth System Model.Ocean.Biogeochemistry.Total Chlorophyll Mass Concentration,774
Earth System Model.Ocean.Biogeochemistry.Dissolved Silicate Concentration,774
Earth System Model.Ocean.Biogeochemistry.Dissolved Iron Concentration,774
Earth System Model.Ocean.Biogeochemistry.Dissolved Phosphate Concentration,774
Earth System Model.Ocean.Biogeochemistry.Dissolved Ammonium Concentration,774
Earth System Model.Ocean.Biogeochemistry.Dissolved Oxygen Concentration,774
Earth System Model.Ocean.Biogeochemistry.Dissolved Nitrate Concentration,774
Earth System Model.Ocean.Biogeochemistry.pH,774
Earth System Model.Ocean.Biogeochemistry.Total Alkalinity,774
Earth System Model.Ocean.Biogeochemistry.Aragonite Concentration,774
Earth System Model.Ocean.Biogeochemistry.Calcite Concentration,774
Earth System Model.Ocean.Biogeochemistry.Detrital Organic Carbon Concentration,774
Earth System Model.Ocean.Biogeochemistry.Bacterial Carbon Concentration,774
Earth System Model.Ocean.Biogeochemistry.Zooplankton Carbon Concentration,784
Earth System Model.Ocean.Biogeochemistry.Dissolved Inorganic Carbon,374
Earth System Model.Ocean.Biogeochemistry.Dissolved Organic Carbon Concentration,374
Earth System Model.Ocean.Biogeochemistry.Phytoplankton Carbon Concentration,374
